"age_group","outcome","est","se",".imp","method"
"80+","Mod+Sev",0.799369265762647,0.0255580151125926,5,"PMM"
"30–39","Severe",0.0365556213935089,0.00385343355118089,6,"PMM"
"40–49","Severe",0.0948931980809996,0.00857663683759889,6,"PMM"
"50–59","Severe",0.147607425512924,0.0115522544067435,6,"PMM"
"60–69","Severe",0.167673488160727,0.0151710355319246,6,"PMM"
"70–79","Severe",0.14908521040008,0.0159118497247089,6,"PMM"
"80+","Severe",0.158862850652325,0.0218198033146493,6,"PMM"
"30–39","Mod+Sev",0.232216453392301,0.0157280570063017,6,"PMM"
"40–49","Mod+Sev",0.357373395936799,0.0171366337989254,6,"PMM"
"50–59","Mod+Sev",0.483459488930801,0.0191824158329621,6,"PMM"
"60–69","Mod+Sev",0.563338208202058,0.0214266166616362,6,"PMM"
"70–79","Mod+Sev",0.662345325723549,0.0239610632196555,6,"PMM"
"80+","Mod+Sev",0.776933540765657,0.0259257296212036,6,"PMM"
"30–39","Severe",0.0392657869406034,0.00367739485858751,7,"PMM"
"40–49","Severe",0.0943636385393532,0.00791521324944619,7,"PMM"
"50–59","Severe",0.152104507613358,0.00951322305650727,7,"PMM"
"60–69","Severe",0.155515991313338,0.0160768942418861,7,"PMM"
"70–79","Severe",0.147152240231982,0.0143880191551801,7,"PMM"
"80+","Severe",0.15627110195505,0.0213040980486023,7,"PMM"
"30–39","Mod+Sev",0.233740886769982,0.0146482118105383,7,"PMM"
"40–49","Mod+Sev",0.360363297678507,0.0164132408736209,7,"PMM"
"50–59","Mod+Sev",0.485301075619237,0.0185001117810372,7,"PMM"
"60–69","Mod+Sev",0.565430613937352,0.0216478037960779,7,"PMM"
"70–79","Mod+Sev",0.663369625883768,0.0228817967076105,7,"PMM"
"80+","Mod+Sev",0.781567904826034,0.0259479034030096,7,"PMM"
"30–39","Severe",0.0360636664825403,0.00351264644494809,8,"PMM"
"40–49","Severe",0.0970852927735617,0.00858757083722831,8,"PMM"
"50–59","Severe",0.144945544000432,0.0110866634405263,8,"PMM"
"60–69","Severe",0.159815872088726,0.0178098543538076,8,"PMM"
"70–79","Severe",0.166522226976508,0.0163766870147994,8,"PMM"
"80+","Severe",0.168506202388057,0.0202421874023552,8,"PMM"
"30–39","Mod+Sev",0.228957190083868,0.0145707503680541,8,"PMM"
"40–49","Mod+Sev",0.36186341530664,0.0168045821666637,8,"PMM"
"50–59","Mod+Sev",0.483995716713686,0.0178195695993351,8,"PMM"
"60–69","Mod+Sev",0.556761849999582,0.0201977857968784,8,"PMM"
"70–79","Mod+Sev",0.660226517311834,0.0243466523633674,8,"PMM"
"80+","Mod+Sev",0.788567832968304,0.0238809436915006,8,"PMM"
"30–39","Severe",0.039400419036099,0.00367670295100256,9,"PMM"
"40–49","Severe",0.0927656275518535,0.00855436453045722,9,"PMM"
"50–59","Severe",0.141816014111343,0.0103866807160232,9,"PMM"
"60–69","Severe",0.160122635319734,0.0149643457814888,9,"PMM"
"70–79","Severe",0.161213215064117,0.0147835137186142,9,"PMM"
"80+","Severe",0.180435218678527,0.0250865895055524,9,"PMM"
"30–39","Mod+Sev",0.232680781694405,0.014320437569119,9,"PMM"
"40–49","Mod+Sev",0.3581455527746,0.0165303969680607,9,"PMM"
